idx,Var1,x____,x__,x_____1,x___1,x_____2,x___2,x___3,x_____3,x___4
1,1,1159,0,1187,0.046954628,6248732,8246.083984,0.883333325,2.55529028802671,0.00220473709061838
1,2,1159,0,1187,0.046948444,6224972.5,8115.92627,0.883333325,2.5546172606705,0.00220415639402114
1,3,1159,0,1187,0.04694226,6201213.5,7985.767578,0.883333325,2.55394432195891,0.0022035757739076
1,4,1158.800049,0,1187,0.046925355,6215623.5,7817.645996,0.879999995,2.5516648937434,0.00220198894187603
1,5,1158.599976,0,1187,0.046908446,6230033.5,7649.524414,0.876666665,2.54938605907826,0.00220040230613492
1,6,1158.400024,0,1187,0.046891537,6244443.5,7481.403809,0.873333335,2.54710878776198,0.00219881624222237
1,7,1158.199951,0,1187,0.046874631,6258853.5,7313.282227,0.870000005,2.54483287288713,0.00219723103138616
1,8,1158,0,1187,0.046857722,6273263.5,7145.160645,0.866666675,2.54255819657191,0.00219564611102928
1,9,1158.199951,0,1187,0.046863146,6275304.5,7126.179199,0.870000005,2.54358597987309,0.00219615445301732
1,10,1158.400024,0,1187,0.046868574,6277345.5,7107.197754,0.873333335,2.54461473695428,0.00219666322879348
1,11,1158.599976,0,1187,0.046873998,6279386,7088.21582,0.876666665,2.54564306556862,0.002197171688504
1,12,1158.800049,0,1187,0.046879426,6281427,7069.234375,0.879999995,2.54667236621163,0.00219768058208948
1,13,1159,0,1187,0.04688485,6283468.5,7050.25293,0.883333325,2.54770123588658,0.0021981891595225
1,14,1159,0,1187,0.046867564,6253062.5,7028.560059,0.883333325,2.54582295558586,0.0021965685552941
1,15,1159,0,1187,0.046850275,6222656,7006.866699,0.883333325,2.54394504212015,0.00219494826757562
1,16,1159,0,1187,0.04683299,6192250.5,6985.173828,0.883333325,2.54206825576218,0.0021933289523401
1,17,1159,0,1187,0.046815701,6161844,6963.480469,0.883333325,2.5401917278807,0.0021917098601214
1,18,1159,0,1187,0.046798415,6131438.5,6941.787598,0.883333325,2.53831621830767,0.00219009164651223
1,19,1159,0,1187,0.046813052,6111623,7123.467285,0.886666656,2.5399042697259,0.0021914618375547
1,20,1159,0,1187,0.046827689,6091807.5,7305.146973,0.890000045,2.54149281775656,0.00219283245708072
1,21,1159,0,1187,0.046842329,6071991.5,7486.82666,0.893333316,2.54308218814118,0.00219420378614424
1,22,1159,0,1187,0.046856966,6052176.5,7668.506348,0.896666646,2.54467172949846,0.00219557526272516
1,23,1159,0,1187,0.046871603,6032361,7850.186035,0.899999976,2.54626176746816,0.00219694716778961
1,24,1159,0,1187,0.046871603,6078459,7915.265137,0.896666646,2.54626176746816,0.00219694716778961
1,25,1159,0,1187,0.046871603,6124557.5,7980.344727,0.893333316,2.54626176746816,0.00219694716778961
1,26,1159,0,1187,0.046871603,6170656,8045.423828,0.890000045,2.54626176746816,0.00219694716778961
1,27,1159,0,1187,0.046871603,6216754.5,8110.503418,0.886666656,2.54626176746816,0.00219694716778961
1,28,1159,0,1187,0.046871603,6262852.5,8175.58252,0.883333325,2.54626176746816,0.00219694716778961
1,29,1159,0,1187,0.046892423,6230461,8118.638184,0.879999995,2.54852432904587,0.00219889933481093
1,30,1159,0,1187,0.046913244,6198069.5,8061.693848,0.876666665,2.5507880041575,0.00220085246260354
1,31,1159,0,1187,0.046934061,6165678,8004.749512,0.873333335,2.55305224898204,0.00220280608195172
1,32,1159,0,1187,0.046954881,6133286.5,7947.804688,0.870000005,2.5553178248303,0.00220476084972416
1,33,1159,0,1187,0.046975706,6100895,7890.86084,0.866666675,2.55758494991599,0.00220671695419844
1,34,1159,0,1187,0.046971794,6163789,7752.566895,0.866666675,2.55715899119941,0.00220634943157844
1,35,1159,0,1187,0.046967879,6226683,7614.273926,0.866666675,2.55673274134226,0.00220598165775864
1,36,1159,0,1187,0.046963967,6289576.5,7475.97998,0.866666675,2.55630685360105,0.00220561419637709
1,37,1159,0,1187,0.046960056,6352470.5,7337.687012,0.866666675,2.55588111018731,0.00220524685952314
1,38,1159,0,1187,0.046956144,6415364.5,7199.393066,0.866666675,2.55545529338518,0.00220487945934874
1,39,1159,0,1187,0.046948571,6378395,7123.467773,0.863333344,2.55463108165383,0.00220416831894204
1,40,1159,0,1187,0.046941001,6341425.5,7047.541504,0.859999955,2.55380732928824,0.002203457574882
1,41,1159,0,1187,0.046933431,6304455.5,6971.616211,0.856666684,2.55298370975541,0.00220274694543176
1,42,1159,0,1187,0.046925858,6267486,6895.689941,0.853333354,2.55215989673291,0.00220203614903616
1,43,1159,0,1187,0.046918288,6230516,6819.764648,0.850000024,2.55133654291824,0.00220132574885094
1,44,1159,0,1187,0.046926491,6225772.5,6844.169434,0.859999955,2.5522287512272,0.00220209555757308
1,45,1159,0,1187,0.046934694,6221029,6868.57373,0.870000005,2.55312111551254,0.00220286550087364
1,46,1159,0,1187,0.04694289,6216285.5,6892.978516,0.879999995,2.55401287407888,0.0022036349215521
1,47,1159,0,1187,0.046951093,6211542,6917.382813,0.890000045,2.5549055501839,0.00220440513389465
1,48,1159,0,1187,0.046959296,6206798.5,6941.787598,0.899999976,2.5557983822653,0.00220517548081562
1,49,1159,0,1187,0.04695059,6245947,7001.443848,0.896666646,2.55485080766245,0.0022043579013481
1,50,1159,0,1187,0.046941888,6285095,7061.100098,0.893333316,2.55390384399627,0.00220354084900454
1,51,1159,0,1187,0.046933178,6324243.5,7120.755859,0.890000045,2.55295618553125,0.00220272319717968
1,52,1159,0,1187,0.046924476,6363392,7180.411621,0.886666656,2.55200957308663,0.00220190644787458
1,53,1159,0,1187,0.046915766,6402540.5,7240.067871,0.883333325,2.55106226616607,0.00220108909936676
1,54,1159,0,1187,0.04691539,6373072.5,7391.919434,0.883333325,2.55102137604958,0.0022010538188521
1,55,1159,0,1187,0.04691501,6343604,7543.771484,0.883333325,2.55098005126482,0.0022010181633001
