idx,Var1,x____,x__,x_____1,x___1,x_____2,x___2,x___3,x_____3,x___4
1,1,1158.599976,146.9639435,1187,0.020487914,2563153.5,6036.101563,0.216666669,0.486327692740608,0.000419754620071396
1,2,1158.800049,195.9519043,1187,0.020496113,2559554.5,5973.733887,0.216666669,0.486801063612883,0.000420090648108769
1,3,1159,244.9398956,1187,0.020504314,2555955.25,5911.366211,0.216666669,0.487274768535681,0.000420426892610596
1,4,1158.800049,205.930954,1187,0.020495862,2583479.25,5981.869141,0.216666669,0.486789140735721,0.000420080359123044
1,5,1158.599976,166.9219971,1187,0.020487407,2611003.25,6052.371582,0.216666669,0.486303623419603,0.000419733845583649
1,6,1158.400024,127.9130554,1187,0.020478953,2638527,6122.873535,0.216666669,0.485818508572141,0.000419387515976209
1,7,1158.199951,88.90410614,1187,0.020470498,2666051,6193.375977,0.216666669,0.485333599654799,0.000419041288368004
1,8,1158,49.89516068,1187,0.020462044,2693575,6263.878906,0.216666669,0.48484909331389,0.000418695244657936
1,9,1158.199951,39.91612625,1187,0.02047075,2670932.5,6234.050781,0.216666669,0.485345549028959,0.0004190516055625
1,10,1158.400024,29.93709564,1187,0.020479457,2648290.25,6204.223145,0.216666669,0.485842421468597,0.000419408159014849
1,11,1158.599976,19.95806313,1187,0.020488163,2625647.75,6174.39502,0.216666669,0.486339513986184,0.000419764823114569
1,12,1158.800049,9.979031563,1187,0.020496871,2603005.25,6144.566895,0.216666669,0.486837070638159,0.000420121720790641
1,13,1159,0,1187,0.020505577,2580363,6114.739258,0.216666669,0.487334799511295,0.000420478688102929
1,14,1158.800049,50.80234146,1187,0.020499647,2575040.25,6101.180664,0.216666669,0.486968949423538,0.000420235527124609
1,15,1158.599976,101.6046829,1187,0.020493716,2569717.5,6087.623047,0.216666669,0.486603179333339,0.000419992395488656
1,16,1158.400024,152.4070282,1187,0.020487785,2564394.75,6074.064453,0.216666669,0.486237638818475,0.000419749334206225
1,17,1158.199951,203.2093658,1187,0.020481855,2559072,6060.506348,0.216666669,0.485872273672142,0.000419506384241025
1,18,1158,254.0117188,1187,0.020475924,2553749.25,6046.948242,0.216666669,0.485507090911073,0.000419263463653776
1,19,1158,244.9398804,1187,0.01941992,2442661,6068.641113,0.216666669,0.436720353069811,0.0003771332928064
1,20,1158,235.868042,1187,0.018363915,2331572.5,6090.334473,0.216666669,0.390516247239327,0.000337233374127225
1,21,1158,226.7961731,1187,0.017307913,2220484.25,6112.027344,0.216666669,0.346894941097229,0.000299563852415569
1,22,1158,217.7243347,1187,0.016251909,2109395.75,6133.720703,0.216666669,0.305856224435077,0.000264124546144281
1,23,1158,208.6524963,1187,0.015195905,1998307.375,6155.413574,0.216666669,0.267400182314531,0.000230915528769025
1,24,1158.199951,166.9219971,1187,0.013340423,1794512.25,6063.218262,0.216666669,0.206121238435106,0.000177966885818929
1,25,1158.400024,125.1914978,1187,0.01148494,1590716.875,5971.021973,0.216666669,0.152797419302983,0.0001319038468036
1,26,1158.599976,83.46099854,1187,0.009629457,1386921.75,5878.82666,0.216666669,0.107432853608829,9.2726442114849e-05
